Group,Row,Column,signal,well,condition,Class
G1 & G6,A,1,34627,A1,Healthy,AM
G1 & G6,A,2,17927,A2,Diseased,AM
G1 & G6,A,3,22004,A3,Treated cells - 10 uM Respiranox,AM
G1 & G6,A,4,13550,A4,Treated cells - 20 uM Respiranox,AM
G1 & G6,A,5,7932,A5,Non-viable cells,AM
G1 & G6,A,6,7512,A6,Media / blank,AM
G1 & G6,B,1,24504,B1,Healthy,AM
G1 & G6,B,2,12180,B2,Diseased,AM
G1 & G6,B,3,30102,B3,Treated cells - 10 uM Respiranox,AM
G1 & G6,B,4,11015,B4,Treated cells - 20 uM Respiranox,AM
G1 & G6,B,5,7575,B5,Non-viable cells,AM
G1 & G6,B,6,7570,B6,Media / blank,AM
G1 & G6,C,1,16659,C1,Healthy,AM
G1 & G6,C,2,15837,C2,Diseased,AM
G1 & G6,C,3,14547,C3,Treated cells - 10 uM Respiranox,AM
G1 & G6,C,4,14389,C4,Treated cells - 20 uM Respiranox,AM
G1 & G6,C,5,7566,C5,Non-viable cells,AM
G1 & G6,C,6,7510,C6,Media / blank,AM
G3 & G4,A,1,23791,A1,Healthy,AM
G3 & G4,A,2,11493,A2,Diseased,AM
G3 & G4,A,3,25966,A3,Treated cells - 10 uM Respiranox,AM
G3 & G4,A,4,16296,A4,Treated cells - 20 uM Respiranox,AM
G3 & G4,A,5,18072,A5,Non-viable cells,AM
G3 & G4,A,6,8405,A6,Media / blank,AM
G3 & G4,B,1,12869,B1,Healthy,AM
G3 & G4,B,2,15759,B2,Diseased,AM
G3 & G4,B,3,13060,B3,Treated cells - 10 uM Respiranox,AM
G3 & G4,B,4,12352,B4,Treated cells - 20 uM Respiranox,AM
G3 & G4,B,5,8089,B5,Non-viable cells,AM
G3 & G4,B,6,7355,B6,Media / blank,AM
G3 & G4,C,1,13439,C1,Healthy,AM
G3 & G4,C,2,14451,C2,Diseased,AM
G3 & G4,C,3,11052,C3,Treated cells - 10 uM Respiranox,AM
G3 & G4,C,4,21344,C4,Treated cells - 20 uM Respiranox,AM
G3 & G4,C,5,7808,C5,Non-viable cells,AM
G3 & G4,C,6,7759,C6,Media / blank,AM
G2 & G5,A,1,18450,A1,Healthy,AM
G2 & G5,A,2,8419,A2,Diseased,AM
G2 & G5,A,3,8353,A3,Treated cells - 10 uM Respiranox,AM
G2 & G5,A,4,11064,A4,Treated cells - 20 uM Respiranox,AM
G2 & G5,A,5,7853,A5,Non-viable cells,AM
G2 & G5,A,6,7576,A6,Media / blank,AM
G2 & G5,B,1,17330,B1,Healthy,AM
G2 & G5,B,2,8895,B2,Diseased,AM
G2 & G5,B,3,11415,B3,Treated cells - 10 uM Respiranox,AM
G2 & G5,B,4,10611,B4,Treated cells - 20 uM Respiranox,AM
G2 & G5,B,5,6872,B5,Non-viable cells,AM
G2 & G5,B,6,6924,B6,Media / blank,AM
G2 & G5,C,1,18825,C1,Healthy,AM
G2 & G5,C,2,9208,C2,Diseased,AM
G2 & G5,C,3,13273,C3,Treated cells - 10 uM Respiranox,AM
G2 & G5,C,4,11576,C4,Treated cells - 20 uM Respiranox,AM
G2 & G5,C,5,7602,C5,Non-viable cells,AM
G2 & G5,C,6,7059,C6,Media / blank,AM
G7 & G8,A,1,30321,A1,Healthy,AM
